relB	hokD	0.8306003715324151
hokD	relB	0.8306003715324151
relE	relB	0.755477236745412
relB	relE	0.755477236745412
alaS	relB	0.7169905024156565
relB	alaS	0.7169905024156565
relE	ilvN	0.6679703819400218
ilvN	relE	0.6679703819400218
relE	alaS	0.5537857385467743
alaS	relE	0.5537857385467743
relB	ilvN	0.26304154814993563
ilvN	relB	0.26304154814993563
alaS	hokD	0.18501307676776468
hokD	alaS	0.18501307676776468
hokD	ilvN	0.1508535621636169
ilvN	hokD	0.1508535621636169
alaS	ilvN	0.0
relE	hokD	0.0
hokD	relE	0.0
ilvN	alaS	0.0
